"WGS84.LAT","WGS84.LNG","ALTITUDE","AREA","MUNICIPALITY","Date.when.GAT.installed","Date.when.GAT.collected","No..Days.GAT.in.field","Week.when.GAT.collected","No..Ad..Albo.in.GAT","No..Ad..Albo.in.14.days","TRAP.ID.fac","Day.GAT.collected"
45.83961,9.0516,214,"Non-intervention","Maslianico",2019-07-16,2019-07-30,14,31,13,13,"MSL-4a",211
45.83961,9.0516,214,"Non-intervention","Maslianico",2019-07-30,2019-08-13,14,33,8,8,"MSL-4a",225
45.83961,9.0516,214,"Non-intervention","Maslianico",2019-08-26,2019-09-11,16,37,12,10.5,"MSL-4a",254
45.83961,9.0516,214,"Non-intervention","Maslianico",2019-09-11,2019-09-27,16,39,6,5.25,"MSL-4a",270
45.83961,9.0516,214,"Non-intervention","Maslianico",2019-09-27,2019-10-10,13,41,5,5.38461538461539,"MSL-4a",283
45.84606,9.04832,319,"Non-intervention","Maslianico",2019-06-05,2019-06-18,13,25,6,6.46153846153846,"MSL-5a",169
45.84606,9.04832,319,"Non-intervention","Maslianico",2019-06-18,2019-07-03,15,27,7,6.53333333333333,"MSL-5a",184
45.84606,9.04832,319,"Non-intervention","Maslianico",2019-07-03,2019-07-16,13,29,26,28,"MSL-5a",197
45.84606,9.04832,319,"Non-intervention","Maslianico",2019-07-16,2019-07-30,14,31,24,24,"MSL-5a",211
45.84606,9.04832,319,"Non-intervention","Maslianico",2019-07-30,2019-08-13,14,33,15,15,"MSL-5a",225
45.84606,9.04832,319,"Non-intervention","Maslianico",2019-08-13,2019-08-26,13,35,16,17.2307692307692,"MSL-5a",238
45.84606,9.04832,319,"Non-intervention","Maslianico",2019-08-26,2019-09-11,16,37,12,10.5,"MSL-5a",254
45.84606,9.04832,319,"Non-intervention","Maslianico",2019-09-11,2019-09-27,16,39,7,6.125,"MSL-5a",270
45.84606,9.04832,319,"Non-intervention","Maslianico",2019-09-27,2019-10-10,13,41,2,2.15384615384615,"MSL-5a",283
45.8433,9.05106,244,"Non-intervention","Maslianico",2019-06-05,2019-06-18,13,25,5,5.38461538461539,"MSL-6a",169
45.8433,9.05106,244,"Non-intervention","Maslianico",2019-06-18,2019-07-03,15,27,5,4.66666666666667,"MSL-6a",184
45.8433,9.05106,244,"Non-intervention","Maslianico",2019-07-03,2019-07-16,13,29,13,14,"MSL-6a",197
45.8433,9.05106,244,"Non-intervention","Maslianico",2019-07-16,2019-07-30,14,31,19,19,"MSL-6a",211
45.8433,9.05106,244,"Non-intervention","Maslianico",2019-07-30,2019-08-13,14,33,12,12,"MSL-6a",225
45.8433,9.05106,244,"Non-intervention","Maslianico",2019-08-13,2019-08-26,13,35,3,3.23076923076923,"MSL-6a",238
45.8433,9.05106,244,"Non-intervention","Maslianico",2019-08-26,2019-09-11,16,37,6,5.25,"MSL-6a",254
45.8433,9.05106,244,"Non-intervention","Maslianico",2019-09-11,2019-09-27,16,39,0,0,"MSL-6a",270
45.8433,9.05106,244,"Non-intervention","Maslianico",2019-09-27,2019-10-10,13,41,2,2.15384615384615,"MSL-6a",283
45.82244,8.95859,411,"Non-intervention","Uggiate-Trevano",2019-06-05,2019-06-18,13,25,1,1.07692307692308,"UTR-1a",169
45.82244,8.95859,411,"Non-intervention","Uggiate-Trevano",2019-07-03,2019-07-16,13,29,7,7.53846153846154,"UTR-1a",197
45.82244,8.95859,411,"Non-intervention","Uggiate-Trevano",2019-07-16,2019-07-30,14,31,21,21,"UTR-1a",211
45.82244,8.95859,411,"Non-intervention","Uggiate-Trevano",2019-07-30,2019-08-13,14,33,20,20,"UTR-1a",225
45.82244,8.95859,411,"Non-intervention","Uggiate-Trevano",2019-08-13,2019-08-26,13,35,8,8.61538461538462,"UTR-1a",238
45.82244,8.95859,411,"Non-intervention","Uggiate-Trevano",2019-09-27,2019-10-10,13,41,3,3.23076923076923,"UTR-1a",283
45.82078,8.95462,401,"Non-intervention","Uggiate-Trevano",2019-06-05,2019-06-18,13,25,0,0,"UTR-2a",169
45.82078,8.95462,401,"Non-intervention","Uggiate-Trevano",2019-06-18,2019-07-03,15,27,0,0,"UTR-2a",184
45.82078,8.95462,401,"Non-intervention","Uggiate-Trevano",2019-07-03,2019-07-16,13,29,6,6.46153846153846,"UTR-2a",197
45.82078,8.95462,401,"Non-intervention","Uggiate-Trevano",2019-07-16,2019-07-30,14,31,13,13,"UTR-2a",211
45.82078,8.95462,401,"Non-intervention","Uggiate-Trevano",2019-07-30,2019-08-13,14,33,10,10,"UTR-2a",225
45.82078,8.95462,401,"Non-intervention","Uggiate-Trevano",2019-08-13,2019-08-26,13,35,5,5.38461538461539,"UTR-2a",238
45.82078,8.95462,401,"Non-intervention","Uggiate-Trevano",2019-09-11,2019-09-27,16,39,1,0.875,"UTR-2a",270
45.82078,8.95462,401,"Non-intervention","Uggiate-Trevano",2019-09-27,2019-10-10,13,41,2,2.15384615384615,"UTR-2a",283
45.82637,8.95026,420,"Non-intervention","Uggiate-Trevano",2019-06-05,2019-06-18,13,25,6,6.46153846153846,"UTR-3a",169
45.82637,8.95026,420,"Non-intervention","Uggiate-Trevano",2019-06-18,2019-07-03,15,27,13,12.1333333333333,"UTR-3a",184
45.82637,8.95026,420,"Non-intervention","Uggiate-Trevano",2019-07-03,2019-07-16,13,29,30,32.3076923076923,"UTR-3a",197
45.82637,8.95026,420,"Non-intervention","Uggiate-Trevano",2019-07-16,2019-07-30,14,31,33,33,"UTR-3a",211
45.82637,8.95026,420,"Non-intervention","Uggiate-Trevano",2019-07-30,2019-08-13,14,33,52,52,"UTR-3a",225
45.82637,8.95026,420,"Non-intervention","Uggiate-Trevano",2019-08-13,2019-08-26,13,35,64,68.9230769230769,"UTR-3a",238
45.82637,8.95026,420,"Non-intervention","Uggiate-Trevano",2019-08-26,2019-09-11,16,37,40,35,"UTR-3a",254
45.82637,8.95026,420,"Non-intervention","Uggiate-Trevano",2019-09-11,2019-09-27,16,39,33,28.875,"UTR-3a",270
45.82637,8.95026,420,"Non-intervention","Uggiate-Trevano",2019-09-27,2019-10-10,13,41,15,16.1538461538462,"UTR-3a",283
45.82545,8.9588,414,"Non-intervention","Uggiate-Trevano",2019-06-18,2019-07-03,15,27,11,10.2666666666667,"UTR-4a",184
45.82545,8.9588,414,"Non-intervention","Uggiate-Trevano",2019-07-03,2019-07-16,13,29,11,11.8461538461538,"UTR-4a",197
45.82545,8.9588,414,"Non-intervention","Uggiate-Trevano",2019-07-16,2019-07-30,14,31,34,34,"UTR-4a",211
45.82545,8.9588,414,"Non-intervention","Uggiate-Trevano",2019-07-30,2019-08-13,14,33,41,41,"UTR-4a",225
45.82545,8.9588,414,"Non-intervention","Uggiate-Trevano",2019-08-13,2019-08-26,13,35,25,26.9230769230769,"UTR-4a",238
45.82545,8.9588,414,"Non-intervention","Uggiate-Trevano",2019-08-26,2019-09-11,16,37,24,21,"UTR-4a",254
45.82545,8.9588,414,"Non-intervention","Uggiate-Trevano",2019-09-11,2019-09-27,16,39,33,28.875,"UTR-4a",270
45.82545,8.9588,414,"Non-intervention","Uggiate-Trevano",2019-09-27,2019-10-10,13,41,11,11.8461538461538,"UTR-4a",283
45.8228,8.96541,386,"Non-intervention","Uggiate-Trevano",2019-06-05,2019-06-18,13,25,4,4.30769230769231,"UTR-5a",169
45.8228,8.96541,386,"Non-intervention","Uggiate-Trevano",2019-07-03,2019-07-16,13,29,7,7.53846153846154,"UTR-5a",197
45.8228,8.96541,386,"Non-intervention","Uggiate-Trevano",2019-07-16,2019-07-30,14,31,21,21,"UTR-5a",211
45.8228,8.96541,386,"Non-intervention","Uggiate-Trevano",2019-07-30,2019-08-13,14,33,40,40,"UTR-5a",225
45.8228,8.96541,386,"Non-intervention","Uggiate-Trevano",2019-08-13,2019-08-26,13,35,31,33.3846153846154,"UTR-5a",238
45.8228,8.96541,386,"Non-intervention","Uggiate-Trevano",2019-08-26,2019-09-11,16,37,13,11.375,"UTR-5a",254
45.8228,8.96541,386,"Non-intervention","Uggiate-Trevano",2019-09-11,2019-09-27,16,39,27,23.625,"UTR-5a",270
45.8228,8.96541,386,"Non-intervention","Uggiate-Trevano",2019-09-27,2019-10-10,13,41,10,10.7692307692308,"UTR-5a",283
45.82333,8.97321,372,"Non-intervention","Uggiate-Trevano",2019-06-05,2019-06-18,13,25,5,5.38461538461539,"UTR-6a",169
45.82333,8.97321,372,"Non-intervention","Uggiate-Trevano",2019-06-18,2019-07-03,15,27,6,5.6,"UTR-6a",184
45.82333,8.97321,372,"Non-intervention","Uggiate-Trevano",2019-07-03,2019-07-16,13,29,16,17.2307692307692,"UTR-6a",197
45.82333,8.97321,372,"Non-intervention","Uggiate-Trevano",2019-07-16,2019-07-30,14,31,4,4,"UTR-6a",211
45.82333,8.97321,372,"Non-intervention","Uggiate-Trevano",2019-07-30,2019-08-13,14,33,34,34,"UTR-6a",225
45.82333,8.97321,372,"Non-intervention","Uggiate-Trevano",2019-08-13,2019-08-26,13,35,24,25.8461538461538,"UTR-6a",238
45.82333,8.97321,372,"Non-intervention","Uggiate-Trevano",2019-08-26,2019-09-11,16,37,29,25.375,"UTR-6a",254
45.82333,8.97321,372,"Non-intervention","Uggiate-Trevano",2019-09-11,2019-09-27,16,39,14,12.25,"UTR-6a",270
45.82333,8.97321,372,"Non-intervention","Uggiate-Trevano",2019-09-27,2019-10-10,13,41,4,4.30769230769231,"UTR-6a",283
